기준시점,시군구,읍면동,세대수,등록인구,등록인구 남,등록인구 여,한국인,한국인 남,한국인 여,외국인,외국인 남,외국인 여,세대당인구,65세이상 고령자
2016,용인시 기흥구,신갈동,13692,37494,18641,18853,36545,18148,18397,949,493,456,2.7,4034
2016,용인시 기흥구,영덕동,15946,45400,22492,22908,45028,22292,22736,372,200,172,2.8,3533
2016,용인시 기흥구,구갈동,11570,28012,14063,13949,27189,13651,13538,823,412,411,2.3,2435
2016,용인시 기흥구,상갈동,17562,47314,23814,23500,46753,23522,23231,561,292,269,2.7,5251
2016,용인시 기흥구,기흥동,8625,22983,11476,11507,22705,11307,11398,278,169,109,2.6,2564
2016,용인시 기흥구,서농동,9981,24922,12697,12225,24008,12304,11704,914,393,521,2.4,1232
2016,용인시 기흥구,구성동,14409,41035,19879,21156,40894,19823,21071,141,56,85,2.8,5507
2016,용인시 기흥구,마북동,11415,32282,15818,16464,32144,15763,16381,138,55,83,2.8,4821
2016,용인시 기흥구,동백동,26063,80282,39333,40949,79937,39185,40752,345,148,197,3.1,5984
2016,용인시 기흥구,상하동,8777,25544,12498,13046,25333,12373,12960,211,125,86,2.9,2611
2016,용인시 기흥구,보정동,12903,36869,18068,18801,36627,17948,18679,242,120,122,2.8,4927
2016,용인시 수지구,풍덕천1동,14514,37997,18989,19008,37501,18753,18748,496,236,260,2.6,3764
2016,용인시 수지구,풍덕천2동,13598,40119,19680,20439,39871,19570,20301,248,110,138,2.9,3329
2016,용인시 수지구,신봉동,12440,37142,18080,19062,37067,18037,19030,75,43,32,3,4538
2016,용인시 수지구,죽전1동,20537,60558,29506,31052,59395,29035,30360,1163,471,692,2.9,5942
2016,용인시 수지구,죽전2동,7469,19679,9740,9939,19589,9694,9895,90,46,44,2.6,1956
2016,용인시 수지구,동천동,13236,36606,18054,18552,36270,17892,18378,336,162,174,2.7,3528
2016,용인시 수지구,상현1동,16120,47504,23111,24393,47359,23054,24305,145,57,88,2.9,4961
2016,용인시 수지구,상현2동,10624,33164,16106,17058,33105,16082,17023,59,24,35,3.1,4200
2016,용인시 수지구,성복동,12628,37810,18172,19638,37676,18100,19576,134,72,62,3,6204
2017,용인시 처인구,포곡읍,13880,35175,18118,17057,34433,17675,16758,742,443,299,2.5,3804
